Country name,year,Life Ladder,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,2021,7.842,10.775,0.954,72,0.949,-0.098,0.186
Denmark,2021,7.62,10.933,0.954,72.7,0.946,0.03,0.179
Switzerland,2021,7.571,11.117,0.942,74.4,0.919,0.025,0.292
Iceland,2021,7.554,10.878,0.983,73,0.955,0.16,0.673
Netherlands,2021,7.464,10.932,0.942,72.4,0.913,0.175,0.338
Norway,2021,7.392,11.053,0.954,73.3,0.96,0.093,0.27
Sweden,2021,7.363,10.867,0.934,72.7,0.945,0.086,0.237
Luxembourg,2021,7.324,11.647,0.908,72.6,0.907,-0.034,0.386
New Zealand,2021,7.277,10.643,0.948,73.4,0.929,0.134,0.242
Austria,2021,7.268,10.906,0.934,73.3,0.908,0.042,0.481
Australia,2021,7.183,10.796,0.94,73.9,0.914,0.159,0.442
Israel,2021,7.157,10.575,0.939,73.503,0.8,0.031,0.753
Germany,2021,7.155,10.873,0.903,72.5,0.875,0.011,0.46
Canada,2021,7.103,10.776,0.926,73.8,0.915,0.089,0.415
Ireland,2021,7.085,11.342,0.947,72.4,0.879,0.077,0.363
Costa Rica,2021,7.069,9.88,0.891,71.4,0.934,-0.126,0.809
United Kingdom,2021,7.064,10.707,0.934,72.5,0.859,0.233,0.459
Czech Republic,2021,6.965,10.556,0.947,70.807,0.858,-0.208,0.868
United States,2021,6.951,11.023,0.92,68.2,0.837,0.098,0.698
Belgium,2021,6.834,10.823,0.906,72.199,0.783,-0.153,0.646
France,2021,6.69,10.704,0.942,74,0.822,-0.147,0.571
Bahrain,2021,6.647,10.669,0.862,69.495,0.925,0.089,0.722
Malta,2021,6.602,10.674,0.931,72.2,0.927,0.133,0.653
Taiwan Province of China,2021,6.584,10.871,0.898,69.6,0.784,-0.07,0.721
United Arab Emirates,2021,6.561,11.085,0.844,67.333,0.932,0.074,0.589
Saudi Arabia,2021,6.494,10.743,0.891,66.603,0.877,-0.149,0.684
Spain,2021,6.491,10.571,0.932,74.7,0.761,-0.081,0.745
Italy,2021,6.483,10.623,0.88,73.8,0.693,-0.084,0.866
Slovenia,2021,6.461,10.529,0.948,71.4,0.949,-0.101,0.806
Guatemala,2021,6.435,9.053,0.813,64.958,0.906,-0.038,0.775
Uruguay,2021,6.431,9.966,0.925,69.1,0.896,-0.092,0.59
Singapore,2021,6.377,11.488,0.915,76.953,0.927,-0.018,0.082
Kosovo,2021,6.372,9.318,0.821,63.813,0.869,0.257,0.917
Slovakia,2021,6.331,10.369,0.936,69.201,0.766,-0.124,0.911
Brazil,2021,6.33,9.577,0.882,66.601,0.804,-0.071,0.756
Mexico,2021,6.317,9.859,0.831,68.597,0.862,-0.147,0.799
Jamaica,2021,6.309,9.186,0.877,67.5,0.89,-0.137,0.884
Lithuania,2021,6.255,10.499,0.935,67.906,0.773,-0.203,0.826
Cyprus,2021,6.223,10.576,0.802,73.898,0.763,-0.015,0.844
Estonia,2021,6.189,10.481,0.941,68.8,0.909,-0.106,0.527
Panama,2021,6.18,10.35,0.896,69.652,0.872,-0.166,0.856
Uzbekistan,2021,6.179,8.836,0.918,65.255,0.97,0.311,0.515
Chile,2021,6.172,10.071,0.882,70,0.742,-0.044,0.83
Poland,2021,6.166,10.382,0.898,69.702,0.841,-0.165,0.735
Kazakhstan,2021,6.152,10.155,0.952,65.2,0.853,-0.069,0.733
Romania,2021,6.14,10.284,0.832,67.355,0.845,-0.219,0.938
Kuwait,2021,6.106,10.817,0.843,66.9,0.867,-0.104,0.736
Serbia,2021,6.078,9.787,0.873,68.6,0.778,0.002,0.835
El Salvador,2021,6.061,9.054,0.762,66.402,0.888,-0.11,0.688
Mauritius,2021,6.049,10.008,0.905,66.701,0.867,-0.054,0.789
Latvia,2021,6.032,10.315,0.927,67.1,0.715,-0.162,0.8
Colombia,2021,6.012,9.557,0.847,68.001,0.837,-0.135,0.841
Hungary,2021,5.992,10.358,0.943,68,0.755,-0.186,0.876
Thailand,2021,5.985,9.805,0.888,67.401,0.884,0.287,0.895
Nicaragua,2021,5.972,8.62,0.864,67.657,0.836,0.02,0.664
Japan,2021,5.94,10.611,0.884,75.1,0.796,-0.258,0.638
Argentina,2021,5.929,9.962,0.898,69,0.828,-0.182,0.834
Portugal,2021,5.929,10.421,0.879,72.6,0.892,-0.244,0.887
Honduras,2021,5.919,8.648,0.812,67.3,0.857,0.081,0.809
Croatia,2021,5.882,10.217,0.924,70.799,0.754,-0.118,0.939
Philippines,2021,5.88,9.076,0.83,62,0.917,-0.097,0.742
South Korea,2021,5.845,10.651,0.799,73.9,0.672,-0.083,0.727
Peru,2021,5.84,9.458,0.832,68.25,0.822,-0.154,0.891
Bosnia and Herzegovina,2021,5.813,9.59,0.87,68.098,0.706,0.113,0.931
Moldova,2021,5.766,9.454,0.857,65.699,0.822,-0.079,0.918
Ecuador,2021,5.764,9.313,0.821,68.8,0.842,-0.124,0.843
Kyrgyzstan,2021,5.744,8.538,0.893,64.401,0.935,0.119,0.908
Greece,2021,5.723,10.279,0.823,72.6,0.582,-0.288,0.823
Bolivia,2021,5.716,9.046,0.81,63.901,0.875,-0.077,0.839
Mongolia,2021,5.677,9.4,0.935,62.5,0.708,0.116,0.856
Paraguay,2021,5.653,9.448,0.893,65.9,0.876,0.028,0.882
Montenegro,2021,5.581,9.94,0.858,68.699,0.708,-0.034,0.812
Dominican Republic,2021,5.545,9.802,0.853,66.102,0.86,-0.133,0.714
North Cyprus,2021,5.536,10.576,0.82,73.898,0.795,0.012,0.626
Belarus,2021,5.534,9.853,0.91,66.253,0.65,-0.18,0.627
Russia,2021,5.477,10.189,0.903,64.703,0.718,-0.111,0.845
Hong Kong S.A.R. of China,2021,5.477,11,0.836,76.82,0.717,0.067,0.403
Tajikistan,2021,5.466,8.091,0.86,64.281,0.832,-0.056,0.553
Vietnam,2021,5.411,8.973,0.85,68.034,0.94,-0.098,0.796
Libya,2021,5.41,9.622,0.827,62.3,0.771,-0.087,0.667
Malaysia,2021,5.384,10.238,0.817,67.102,0.895,0.125,0.839
Indonesia,2021,5.345,9.365,0.811,62.236,0.873,0.542,0.867
Congo (Brazzaville),2021,5.342,8.117,0.636,58.221,0.695,-0.068,0.745
China,2021,5.339,9.673,0.811,69.593,0.904,-0.146,0.755
Ivory Coast,2021,5.306,8.551,0.644,50.114,0.741,-0.016,0.794
Armenia,2021,5.283,9.487,0.799,67.055,0.825,-0.168,0.629
Nepal,2021,5.269,8.12,0.774,64.233,0.782,0.152,0.727
Bulgaria,2021,5.266,10.016,0.931,67,0.788,-0.096,0.932
Maldives,2021,5.198,9.826,0.913,70.6,0.854,0.024,0.825
Azerbaijan,2021,5.171,9.569,0.836,65.656,0.814,-0.223,0.506
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026,0.848
Senegal,2021,5.132,8.118,0.71,59.802,0.695,-0.046,0.801
Albania,2021,5.117,9.52,0.697,68.999,0.785,-0.03,0.901
North Macedonia,2021,5.101,9.693,0.805,65.474,0.751,0.038,0.905
Ghana,2021,5.088,8.58,0.727,57.586,0.807,0.123,0.848
Niger,2021,5.074,7.098,0.641,53.78,0.806,0.018,0.693
Turkmenistan,2021,5.066,9.629,0.983,62.409,0.877,0.273,0.888
Gambia,2021,5.051,7.686,0.69,55.16,0.697,0.424,0.746
Benin,2021,5.045,8.087,0.489,54.713,0.757,-0.034,0.661
Laos,2021,5.03,8.947,0.728,58.968,0.91,0.123,0.658
Bangladesh,2021,5.025,8.454,0.693,64.8,0.877,-0.041,0.682
Guinea,2021,4.984,7.838,0.639,55.008,0.697,0.095,0.766
South Africa,2021,4.956,9.403,0.86,56.904,0.749,-0.067,0.86
Turkey,2021,4.948,10.24,0.822,67.199,0.576,-0.139,0.776
Pakistan,2021,4.934,8.458,0.651,58.709,0.726,0.098,0.787
Morocco,2021,4.918,8.903,0.56,66.208,0.774,-0.236,0.801
Venezuela,2021,4.892,9.073,0.861,66.7,0.615,-0.169,0.827
Georgia,2021,4.891,9.585,0.671,64.3,0.783,-0.238,0.655
Algeria,2021,4.887,9.342,0.802,66.005,0.48,-0.067,0.752
Ukraine,2021,4.875,9.436,0.888,64.902,0.724,-0.011,0.924
Iraq,2021,4.854,9.24,0.746,60.583,0.63,-0.053,0.875
Gabon,2021,4.852,9.603,0.776,59.962,0.731,-0.2,0.84
Burkina Faso,2021,4.834,7.678,0.672,54.151,0.695,-0.009,0.748
Cambodia,2021,4.83,8.36,0.765,62,0.959,0.034,0.843
Mozambique,2021,4.794,7.158,0.744,54.706,0.882,0.061,0.684
Nigeria,2021,4.759,8.533,0.74,50.102,0.737,0.037,0.878
Mali,2021,4.723,7.744,0.724,51.969,0.697,-0.036,0.827
Iran,2021,4.721,9.584,0.71,66.3,0.608,0.218,0.714
Uganda,2021,4.636,7.677,0.781,56.101,0.709,0.122,0.855
Liberia,2021,4.625,7.288,0.72,56.498,0.735,0.05,0.85
Kenya,2021,4.607,8.361,0.688,60.704,0.779,0.287,0.825
Tunisia,2021,4.596,9.266,0.691,67.201,0.656,-0.201,0.87
Lebanon,2021,4.584,9.626,0.848,67.355,0.525,-0.073,0.898
Namibia,2021,4.574,9.161,0.818,56.799,0.719,-0.149,0.847
Palestinian Territories,2021,4.517,8.485,0.826,62.25,0.653,-0.163,0.821
Myanmar,2021,4.426,8.541,0.779,59.302,0.876,0.509,0.66
Jordan,2021,4.395,9.182,0.767,67,0.755,-0.167,0.705
Chad,2021,4.355,7.364,0.619,48.478,0.579,0.041,0.807
Sri Lanka,2021,4.325,9.47,0.827,67.299,0.841,0.079,0.863
Swaziland,2021,4.308,9.065,0.77,50.833,0.647,-0.185,0.708
Comoros,2021,4.289,8.031,0.626,57.349,0.548,0.082,0.781
Egypt,2021,4.283,9.367,0.75,61.998,0.749,-0.182,0.795
Ethiopia,2021,4.275,7.694,0.764,59,0.752,0.082,0.761
Mauritania,2021,4.227,8.542,0.795,57.161,0.561,-0.106,0.731
Madagascar,2021,4.208,7.396,0.686,59.305,0.552,-0.005,0.803
Togo,2021,4.107,7.362,0.569,54.914,0.619,0.032,0.772
Zambia,2021,4.073,8.145,0.708,55.809,0.782,0.061,0.823
Sierra Leone,2021,3.849,7.434,0.63,51.651,0.717,0.084,0.866
India,2021,3.819,8.755,0.603,60.633,0.893,0.089,0.774
Burundi,2021,3.775,6.635,0.49,53.4,0.626,-0.024,0.607
Yemen,2021,3.658,7.578,0.832,57.122,0.602,-0.147,0.8
Tanzania,2021,3.623,7.876,0.702,57.999,0.833,0.183,0.577
Haiti,2021,3.615,7.477,0.54,55.7,0.593,0.422,0.721
Malawi,2021,3.6,6.958,0.537,57.948,0.78,0.038,0.729
Lesotho,2021,3.512,7.926,0.787,48.7,0.715,-0.131,0.915
Botswana,2021,3.467,9.782,0.784,59.269,0.824,-0.246,0.801
Rwanda,2021,3.415,7.676,0.552,61.4,0.897,0.061,0.167
Zimbabwe,2021,3.145,7.943,0.75,56.201,0.677,-0.047,0.821
Afghanistan,2021,2.523,7.695,0.463,52.493,0.382,-0.102,0.924
